Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
heart,FOLD-SE Pure,,0.7481481481481482,,,0.7720828812764297,,,0.7866666666666667,,,0.7729345713844383,,,0.0665980442432651,,,0.06785660917025262,,,0.12785022101015578,,,0.07131598148080123,
heart,KNN,0.6351851851851852,,0.7333333333333334,0.657311285912729,,0.7417674215734561,0.72,,0.8099999999999999,0.6855381334699295,,0.7714833760429184,0.0552460514450974,,0.06884860984493177,0.04713876569265372,,0.07932284906498677,0.08195150628704793,,0.08172522465970351,0.05458520630815025,,0.05849037874559467
heart,Neural Network,0.7722222222222223,,0.7814814814814814,0.7662968798873306,,0.7720278808004141,0.8666666666666666,,0.8733333333333334,0.8089013651693694,,0.8166682038142244,0.06876554292164751,,0.0628296822222196,0.0715645640146547,,0.06642474903167563,0.09296222517045284,,0.07503085784948503,0.054537178174680664,,0.04979049238862444
heart,Random Forest,0.8092592592592593,,0.7981481481481482,0.8321313587670323,,0.8200490903432079,0.8266666666666665,,0.82,0.8260529917227502,,0.8168306897696643,0.0545519780130511,,0.06013372285411139,0.048691839899930464,,0.05683129430890403,0.09787873575797888,,0.09838197164968296,0.05456548350506763,,0.058420785838620794
heart,SVM,0.624074074074074,,0.7444444444444445,0.626067949357423,,0.7570171545977997,0.8033333333333333,,0.8066666666666666,0.7028095570413393,,0.7788108606236733,0.05859322209918162,,0.08179885814062937,0.040235072315274824,,0.08741748230130013,0.07769837216465374,,0.07665861471404599,0.05062248549891573,,0.06795604643745042
autism,FOLD-SE Pure,,0.9205673758865249,,,0.9488637873723723,,,0.9427184466019417,,,0.9455344735592786,,,0.036440376109688324,,,0.03153634743354479,,,0.027249882763781052,,,0.02477004088185944,
autism,KNN,0.8595744680851064,,0.8936170212765957,0.892700263410261,,0.9117949911316426,0.9194174757281554,,0.9466019417475728,0.9054383842503965,,0.9286131727568337,0.024062431489360703,,0.020059766842171554,0.028033827537646883,,0.022154025547705323,0.02244471311896405,,0.019551854326204803,0.015414254726381697,,0.013194392411675363
autism,Neural Network,0.9680851063829786,,0.9680851063829786,0.9815971718954739,,0.9825295952348952,0.9747572815533981,,0.9737864077669902,0.978080451659632,,0.9780518965482671,0.013055982289819435,,0.013055982289819437,0.013252484411716314,,0.012731970193915799,0.013105797237098114,,0.013768315460312389,0.008974076346884652,,0.00899997249741983
autism,Random Forest,0.9609929078014184,,0.9588652482269504,0.9641183018684542,,0.9657195071901767,0.983495145631068,,0.978640776699029,0.9735986403798543,,0.9720524818231908,0.015044825131628648,,0.019147476814483734,0.01668426435157362,,0.017163321176105077,0.012985373882031626,,0.015040712024106472,0.010184380388527016,,0.013043783854059876
autism,SVM,0.7304964539007093,,0.9340425531914894,0.7304964539007093,,0.948255537139145,1.0,,0.9631067961165047,0.8442622950819672,,0.95526126151595,0.0,,0.03154943545239384,0.0,,0.02972064067136261,0.0,,0.02776389720327147,0.0,,0.021286324755442582
