Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
heart,FOLD-SE Pure,,0.7296296296296296,,,0.7392649572649572,,,0.7637283834038398,,,0.748177405886542,,,0.07314228762270926,,,0.08441699237736777,,,0.0976330249913127,,,0.07656457176224439,
heart,KNN,0.6425925925925926,,0.6425925925925926,0.6473752423550079,,0.6473752423550079,0.7453119958698051,,0.7453119958698051,0.6896525184122514,,0.6896525184122514,0.05384895922855406,,0.05384895922855406,0.06778416701445607,,0.06778416701445607,0.06148448196227535,,0.06148448196227535,0.04487809267255401,,0.04487809267255401
heart,Neural Network,0.8092592592592593,,0.7962962962962963,0.8470068226120858,,0.8305928903285883,0.7858112025454824,,0.7718262411467279,0.812191968691452,,0.7970568812196744,0.034973371541272315,,0.04860498687661609,0.049511636301166936,,0.061438791292940845,0.08112393313503098,,0.09720543643136735,0.045142628944184436,,0.06305489767871962
heart,Random Forest,0.7944444444444445,,0.7962962962962963,0.7913756613756614,,0.7870750077808901,0.8375759035495344,,0.8472247326709802,0.8124481918958427,,0.813430594876794,0.043165762313696524,,0.04860498687661615,0.048185052336248035,,0.06464430767909692,0.059511403422942755,,0.08302431398388503,0.04295619754264522,,0.055635878637675266
heart,SVM,0.6351851851851852,,0.711111111111111,0.6180085246837493,,0.7001552850234392,0.8383593230449214,,0.8107683072693215,0.7096134045096636,,0.7488876287600578,0.05241464127247846,,0.05869068801977633,0.06222777005904376,,0.06998970757537099,0.06101787567484413,,0.07632592578643632,0.04818403056945538,,0.05593728412330113
autism,FOLD-SE Pure,,0.924822695035461,,,0.9538953386765213,,,0.942087075660516,,,0.9475481549915814,,,0.01644683416636038,,,0.015119341271889063,,,0.031063945782059454,,,0.013184559858781619,
autism,KNN,0.873758865248227,,0.873758865248227,0.8925187165494236,,0.8925187165494236,0.9394697150446933,,0.9394697150446933,0.9152243066647747,,0.9152243066647747,0.015609999072547691,,0.015609999072547691,0.015586200674553094,,0.015586200674553094,0.01872939473355343,,0.01872939473355343,0.011126026737019193,,0.011126026737019193
autism,Neural Network,0.975177304964539,,0.9773049645390071,0.9788062963102406,,0.9816965013221438,0.9873245081736381,,0.9873630030078651,0.9829761385598959,,0.9844302148073257,0.013477250887696666,,0.0128619106465583,0.015887865157766086,,0.016124514740989113,0.007906649071928165,,0.009151614169020966,0.009110837618937877,,0.008659835731922399
autism,Random Forest,0.973758865248227,,0.9588652482269504,0.9740973126110368,,0.9681951421812884,0.9901890993537634,,0.9755434772219352,0.9819948039956834,,0.9716842595968467,0.015699250795162163,,0.011961333939171136,0.01709316074426554,,0.01958379430800936,0.01133865076245327,,0.011619429485751938,0.011047111927495561,,0.008681196585994781
autism,SVM,0.726241134751773,,0.9390070921985816,0.726241134751773,,0.9376134051916949,1.0,,0.9812553213605796,0.8413066054230619,,0.9588142733727396,0.017436490699371865,,0.01743649069937189,0.017436490699371865,,0.014587725017071045,0.0,,0.019223150878894903,0.011738083457135973,,0.012471334657784288
